1;1
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;2
1;20
1;21
1;22
1;23
1;24
1;25
1;27
1;3
1;4
1;5
1;6
1;7
1;8
1;9
2;1
2;13
2;17
2;18
2;19
2;21
2;22
2;23
2;25
2;27
2;28
2;5
2;6
2;8
2;9
3;1
3;11
3;12
3;13
3;14
3;15
3;17
3;18
3;21
3;22
3;25
3;28
3;3
3;4
3;5
3;9
4;0
4;1
4;11
4;12
4;13
4;14
4;16
4;17
4;19
4;21
4;23
4;25
4;26
4;27
4;28
4;29
4;3
4;4
4;5
4;9
5;1
5;12
5;13
5;15
5;16
5;17
5;18
5;19
5;21
5;22
5;23
5;25
5;28
5;4
5;5
5;9
6;1
6;11
6;12
6;13
6;15
6;16
6;17
6;18
6;19
6;21
6;22
6;23
6;25
6;27
6;28
6;3
6;4
6;5
6;7
6;9
7;1
7;11
7;13
7;17
7;18
7;19
7;21
7;22
7;23
7;25
7;27
7;3
7;4
7;5
7;7
7;9
8;1
8;10
8;11
8;12
8;13
8;14
8;15
8;16
8;17
8;18
8;19
8;2
8;20
8;21
8;22
8;23
8;24
8;25
8;27
8;3
8;4
8;5
8;6
8;7
8;8
8;9
