0;0
0;1
0;10
0;11
0;12
0;13
0;14
0;15
0;16
0;17
0;18
0;19
0;2
0;20
0;21
0;22
0;23
0;24
0;25
0;26
0;27
0;28
0;29
0;3
0;4
0;5
0;6
0;7
0;8
0;9
1;0
1;26
1;28
1;29
2;0
2;10
2;11
2;12
2;14
2;15
2;16
2;2
2;20
2;24
2;26
2;29
2;3
2;4
2;7
3;0
3;10
3;16
3;19
3;2
3;20
3;23
3;24
3;26
3;27
3;29
3;6
3;8
4;10
4;15
4;18
4;2
4;20
4;22
4;24
4;6
4;8
5;0
5;10
5;11
5;14
5;2
5;20
5;24
5;26
5;27
5;29
5;3
5;6
5;7
5;8
6;0
6;10
6;14
6;2
6;20
6;24
6;26
6;29
6;6
6;8
7;0
7;10
7;12
7;14
7;15
7;16
7;2
7;20
7;24
7;26
7;28
7;29
7;6
7;8
8;0
8;26
8;28
8;29
9;0
9;1
9;10
9;11
9;12
9;13
9;14
9;15
9;16
9;17
9;18
9;19
9;2
9;20
9;21
9;22
9;23
9;24
9;25
9;26
9;27
9;28
9;29
9;3
9;4
9;5
9;6
9;7
9;8
9;9
